epoch,epsilon,team_return,team_return_ma,greedy_team_return,agent0_return,agent0_return_ma,agent1_return,agent1_return_ma,agent2_return,agent2_return_ma,agent0_task0_return,agent0_task0_return_ma,agent0_task1_return,agent0_task1_return_ma,agent0_task2_return,agent0_task2_return_ma,agent0_task3_return,agent0_task3_return_ma,agent0_task4_return,agent0_task4_return_ma,duration_ms
89,0.050000,19.693333,19.7,19.753333,19.74,19.72,19.86,19.84,19.48,19.54,19.7,19.7,19.4,19.3,19.8,19.8,19.9,19.9,19.9,19.9,0
90,0.050000,19.753333,19.710667,19.753333,19.74,19.72,19.86,19.84,19.66,19.572,19.7,19.7,19.4,19.3,19.8,19.8,19.9,19.9,19.9,19.9,0
91,0.050000,19.726667,19.717333,19.753333,19.74,19.72,19.86,19.84,19.58,19.592,19.7,19.7,19.4,19.3,19.8,19.8,19.9,19.9,19.9,19.9,0
92,0.050000,19.72,19.717333,19.753333,19.74,19.72,19.86,19.86,19.56,19.572,19.7,19.7,19.4,19.3,19.8,19.8,19.9,19.9,19.9,19.9,0
93,0.050000,19.72,19.722667,19.753333,19.74,19.74,19.86,19.86,19.56,19.568,19.7,19.7,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.9,0
94,0.050000,19.72,19.728,19.753333,19.74,19.74,19.86,19.86,19.56,19.584,19.7,19.7,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.9,0
95,0.050000,19.753333,19.728,19.753333,19.74,19.74,19.86,19.86,19.66,19.584,19.7,19.7,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.9,0
96,0.050000,19.726667,19.728,19.753333,19.66,19.724,19.86,19.86,19.66,19.6,19.7,19.7,19,19.32,19.8,19.8,19.9,19.9,19.9,19.9,0
97,0.050000,19.666667,19.717333,19.753333,19.74,19.724,19.86,19.86,19.4,19.568,19.7,19.7,19.4,19.32,19.8,19.8,19.9,19.9,19.9,19.9,0
98,0.050000,19.693333,19.712,19.753333,19.74,19.724,19.86,19.86,19.48,19.552,19.7,19.7,19.4,19.32,19.8,19.8,19.9,19.9,19.9,19.9,0
99,0.050000,19.753333,19.718667,19.753333,19.74,19.724,19.86,19.86,19.66,19.572,19.7,19.7,19.4,19.32,19.8,19.8,19.9,19.9,19.9,19.9,0
